 Count  Overhead File                    Line Function
     6         0 …S/src/Environments.jl    93 #generate_env_row#49
     6         0 …ITensorMPS/src/mpo.jl   614 contract
     6         0 …ITensorMPS/src/mpo.jl   629 contract(A::MPO, ψ::MPS; alg::Str…
     6         0 …PEPS/src/Ok_and_Ek.jl     7 Ok_and_Ek(peps::PEPS, ham_op::Qua…
     6         0 …fPEPS/src/sampling.jl   127 get_sample
     8         0 …ITensorMPS/src/mpo.jl   691 contract
    15         0 …hreadingconstructs.jl   154 (::Base.Threads.var"#1#2"{Quantum…
    15         0 …hreadingconstructs.jl   220 #46549#threadsfor_fun
    15         0 …hreadingconstructs.jl   253 (::QuantumNaturalfPEPS.var"#46549…
    15         0 …s_and_Eks_threaded.jl    66 macro expansion
    15         0 …PEPS/src/Ok_and_Ek.jl     3 kwcall(::@NamedTuple{Ok::SubArray…
Total snapshots: 45. Utilization: 67% across all threads and tasks. Use the `groupby` kwarg to break down by thread and/or task.
