 Count  Overhead File                    Line Function
    26         0 …nt/NaturalGradient.jl    53 QuantumNaturalGradient.NaturalGra…
    26         0 …ibuted/Oks_and_Eks.jl    63 (::QuantumNaturalfPEPS.var"#Oks_a…
    27         0 …file_reference_cpu.jl   299 main()
    27         0 …file_reference_cpu.jl   208 kwcall(::@NamedTuple{sample_nr::I…
    27         0 …file_reference_cpu.jl   237 run_profiled(factory::typeof(make…
    27         0 …rofile/src/Profile.jl    58 macro expansion
    27         0 …file_reference_cpu.jl   174 run_scenario
    27         0 …file_reference_cpu.jl   182 run_scenario(case::@NamedTuple{na…
    27         0 …/src/evolve/evolve.jl   119 kwcall(::@NamedTuple{integrator::…
    27         0 …/src/evolve/evolve.jl   170 evolve(Oks_and_Eks_::QuantumNatur…
    27         0 …/src/evolve/evolve.jl   176 evolve!(state::QuantumNaturalGrad…
    27         0 …/src/evolve/evolve.jl   200 step!(o::QuantumNaturalGradient.O…
    27         0 …evolve/integrators.jl    38 kwcall(::@NamedTuple{sample_nr::I…
    27         0 …evolve/integrators.jl    44 (::QuantumNaturalGradient.Euler)(…
    27         0 …nt/NaturalGradient.jl   175 NaturalGradient_timeit_wrapper
    27         0 …nt/NaturalGradient.jl   177 NaturalGradient_timeit_wrapper(θ:…
    27         0 …nt/NaturalGradient.jl    52 kwcall(::@NamedTuple{sample_nr::I…
    28         0 @Base/client.jl          531 _start()
    28         0 @Base/client.jl          323 exec_options(opts::Base.JLOptions)
    28         0 @Base/Base.jl            557 include(mod::Module, _path::Strin…
    28         0 @Base/loading.jl        2794 _include(mapexpr::Function, mod::…
    28         0 @Base/loading.jl        2734 include_string(mapexpr::typeof(id…
    28         1 @Base/boot.jl            430 eval
Total snapshots: 36. Utilization: 100% across all threads and tasks. Use the `groupby` kwarg to break down by thread and/or task.
