────────────────────────────────────────────────────────────────────────────────────
                                           Time                    Allocations      
                                  ───────────────────────   ────────────────────────
        Tot / % measured:              5.69s /  96.3%           11.3GiB /  99.9%    

Section                   ncalls     time    %tot     avg     alloc    %tot      avg
────────────────────────────────────────────────────────────────────────────────────
compact_Oks_and_Eks            1    5.26s   95.9%   5.26s   11.1GiB   98.7%  11.1GiB
  sampling                 1.02k    2.70s   49.3%  2.64ms   6.08GiB   54.0%  6.08MiB
    env_sample             4.10k    1.24s   22.6%   302μs   2.99GiB   26.5%   765KiB
    env_top                3.07k    690ms   12.6%   225μs   1.72GiB   15.2%   586KiB
    env_row                4.10k   98.4ms    1.8%  24.0μs    221MiB    1.9%  55.3KiB
  vertical_envs            1.02k    915ms   16.7%   894μs   2.09GiB   18.5%  2.09MiB
  energy                   1.02k    914ms   16.7%   892μs   1.57GiB   13.9%  1.57MiB
    fourbody_envs          1.02k    386ms    7.0%   377μs    792MiB    6.9%   792KiB
    fourbody               1.02k    241ms    4.4%   235μs    385MiB    3.3%   385KiB
    horizontal             1.02k    230ms    4.2%   225μs    401MiB    3.5%   401KiB
  horizontal_envs          1.02k    286ms    5.2%   280μs    564MiB    4.9%   564KiB
  compact_log_gradients    1.02k    261ms    4.8%   255μs    495MiB    4.3%   495KiB
  precomp_sHψ_elems        1.02k    177ms    3.2%   173μs    353MiB    3.1%   353KiB
direct_solve                   1    180ms    3.3%   180ms   25.6MiB    0.2%  25.6MiB
direct_T                       1   37.2ms    0.7%  37.2ms    117MiB    1.0%   117MiB
double_layer_envs              1   3.28ms    0.1%  3.28ms   8.36MiB    0.1%  8.36MiB
direct_mean                    1    686μs    0.0%   686μs   10.2KiB    0.0%  10.2KiB
direct_theta_dot               1    658μs    0.0%   658μs   26.2KiB    0.0%  26.2KiB
────────────────────────────────────────────────────────────────────────────────────
