────────────────────────────────────────────────────────────────────────────────────
                                           Time                    Allocations      
                                  ───────────────────────   ────────────────────────
        Tot / % measured:              5.68s /  96.2%           11.3GiB /  99.9%    

Section                   ncalls     time    %tot     avg     alloc    %tot      avg
────────────────────────────────────────────────────────────────────────────────────
compact_Oks_and_Eks            1    5.24s   95.9%   5.24s   11.1GiB   98.7%  11.1GiB
  sampling                 1.02k    2.73s   50.0%  2.67ms   6.08GiB   54.0%  6.08MiB
    env_sample             4.10k    1.25s   22.9%   305μs   2.99GiB   26.6%   765KiB
    env_top                3.07k    706ms   12.9%   230μs   1.72GiB   15.3%   586KiB
    env_row                4.10k    104ms    1.9%  25.4μs    221MiB    1.9%  55.3KiB
  vertical_envs            1.02k    898ms   16.4%   877μs   2.09GiB   18.6%  2.09MiB
  energy                   1.02k    869ms   15.9%   849μs   1.56GiB   13.9%  1.56MiB
    fourbody_envs          1.02k    358ms    6.6%   350μs    792MiB    6.9%   792KiB
    fourbody               1.02k    234ms    4.3%   229μs    382MiB    3.3%   382KiB
    horizontal             1.02k    220ms    4.0%   215μs    395MiB    3.4%   395KiB
  horizontal_envs          1.02k    283ms    5.2%   276μs    564MiB    4.9%   564KiB
  compact_log_gradients    1.02k    278ms    5.1%   271μs    495MiB    4.3%   495KiB
  precomp_sHψ_elems        1.02k    177ms    3.2%   172μs    353MiB    3.1%   353KiB
direct_solve                   1    183ms    3.3%   183ms   25.6MiB    0.2%  25.6MiB
direct_T                       1   36.2ms    0.7%  36.2ms    113MiB    1.0%   113MiB
double_layer_envs              1   3.35ms    0.1%  3.35ms   8.36MiB    0.1%  8.36MiB
direct_theta_dot               1    686μs    0.0%   686μs   26.2KiB    0.0%  26.2KiB
direct_mean                    1    642μs    0.0%   642μs   10.2KiB    0.0%  10.2KiB
────────────────────────────────────────────────────────────────────────────────────
