 Count  Overhead File                    Line Function
     3         0 …/compiler/ssair/ir.jl  2003 compact!(code::Core.Compiler.IRCo…
     3         0 …piler/ssair/passes.jl  2020 adce_pass!(ir::Core.Compiler.IRCo…
     3         0 …/compiler/ssair/ir.jl   724 IncrementalCompact
     3         0 …iler/ssair/domtree.jl   260 update_domtree!
     3         0 …aturalfPEPS/src/Ek.jl   286 get_logψ_flipped(peps::PEPS, Ek_t…
     3         0 …ons/tensor_algebra.jl     3 _contract(A::NDTensors.DenseTenso…
     3         0 …s/src/SimpleTraits.jl   332 contract
     3         0 …uralfPEPS/src/PEPS.jl   287 siteind(peps::PEPS, i::Int64, j::…
     3         0 …ensors/src/itensor.jl  1360 uniqueind
     3         0 …ensors/src/itensor.jl  1360 uniqueind(::ITensor, ::Vararg{ITe…
     3         0 …ensors/src/itensor.jl  1354 uniqueinds(::ITensor, ::Vararg{An…
     3         0 …ensors/src/itensor.jl  1354 uniqueinds(::ITensor, ::Vararg{An…
     3         1 …ensors/src/itensor.jl  1343 filter_inds_set_function(::Functi…
     3         0 …PS/src/abstractmps.jl   875 sim!
     3         0 …PS/src/abstractmps.jl   876 #sim!#95
     3         0 …fPEPS/src/sampling.jl   138 get_sample(peps::PEPS; mode::Symb…
     3         0 …fPEPS/src/sampling.jl    55 get_ket(peps::PEPS, i::Int64, env…
     3         0 …ITensorMPS/src/mpo.jl   614 kwcall(::@NamedTuple{maxdim::Int6…
     3         0 …ITensorMPS/src/mpo.jl   614 contract
     3         0 …trix_decomposition.jl   291 kwcall(::@NamedTuple{ishermitian:…
     4         0 …ler/ssair/inlining.jl   450 ir_inline_item!(compact::Core.Com…
     4         0 …nt/NaturalGradient.jl    53 QuantumNaturalGradient.NaturalGra…
     4         0 …s_and_Eks_threaded.jl    15 (::QuantumNaturalfPEPS.var"#Oks_a…
     4         0 …iler/ssair/domtree.jl   242 construct_domtree(blocks::Vector{…
     4         0 …ons/tensor_algebra.jl    74 contract(A::ITensor, B::ITensor)
     4         0 …ons/tensor_algebra.jl     9 _contract(A::ITensor, B::ITensor)
     4         0 …ensors/src/itensor.jl  1498 replaceinds(::ITensor, ::Vector{I…
     4         2 …ensors/src/itensor.jl  1498 replaceinds(::ITensor, ::Vector{I…
     4         0 …ITensorMPS/src/mpo.jl   629 #contract#457
     5         0 …nt/NaturalGradient.jl    93 kwcall(::@NamedTuple{timer::Timer…
     5         0 …nt/NaturalGradient.jl   112 QuantumNaturalGradient.NaturalGra…
     5         0 …/src/solver/solver.jl    20 kwcall(::@NamedTuple{timer::Timer…
     5         0 …/src/solver/solver.jl    22 (::QuantumNaturalGradient.EigenSo…
     5         0 …/src/solver/solver.jl    10 kwcall(::@NamedTuple{timer::Timer…
     5         0 …/src/solver/solver.jl    14 solve_T(solver::QuantumNaturalGra…
     5         0 …olver/eigen_solver.jl    23 (::QuantumNaturalGradient.EigenSo…
     5         0 …aturalfPEPS/src/Ek.jl   336 get_Ek(peps::PEPS, ham_op::Quantu…
     5         0 …aturalfPEPS/src/Ek.jl   249 get_logψ_flipped
     6         0 …/compiler/ssair/ir.jl  1731 iterate
     6         0 …/compiler/ssair/ir.jl  1809 iterate_compact(compact::Core.Com…
     6         0 …PEPS/src/Ok_and_Ek.jl    21 Ok_and_Ek(peps::PEPS, ham_op::Qua…
     6         0 …aturalfPEPS/src/Ek.jl   332 kwcall(::@NamedTuple{h_envs_r::Ma…
     6         0 …ITensorMPS/src/mpo.jl   691 contract
     7         0 …ractinterpretation.jl  3044 abstract_eval_basic_statement(int…
     7         7 …aturalfPEPS/src/Ok.jl    55 get_Ok(peps::PEPS, env_top::Vecto…
     8         0 …ler/ssair/inlining.jl   700 batch_inline!(ir::Core.Compiler.I…
     9         1 …nt/NaturalGradient.jl    90 QuantumNaturalGradient.NaturalGra…
     9         0 …ractinterpretation.jl    25 abstract_call_gf_by_type(interp::…
     9         0 …ractinterpretation.jl   312 find_matching_methods(𝕃::Core.Com…
     9         0 …mpiler/methodtable.jl   100 findall
     9         0 …mpiler/methodtable.jl   109 findall(sig::Type, table::Core.Co…
     9         0 …mpiler/methodtable.jl    68 findall
     9         0 …mpiler/methodtable.jl    68 #findall#309
