 Count  Overhead File                    Line Function
     3         2 …compiler/typeutils.jl    51 argtypes_to_type(argtypes::Vector…
     3         0 …/compiler/ssair/ir.jl  2001 compact!
     3         0 …/compiler/ssair/ir.jl  2003 compact!(code::Core.Compiler.IRCo…
     3         0 @Base/array.jl          1129 (::Core.Compiler.var"#134#135"{Ve…
     3         0 @Base/array.jl          1058 array_new_memory
     3         0 …ler/ssair/inlining.jl  1801 ssa_substitute!
     3         0 …s_and_Eks_threaded.jl    30 kwcall(::@NamedTuple{timer::Timer…
     3         0 …piler/ssair/passes.jl  2057 adce_pass!(ir::Core.Compiler.IRCo…
     3         0 …ler/ssair/inlining.jl  1421 handle_call!
     3         0 …ler/ssair/inlining.jl  1391 compute_inlining_cases(info::Core…
     3         0 …ler/ssair/inlining.jl  1315 handle_any_const_result!
     3         0 …ler/ssair/inlining.jl   871 resolve_todo
     3         0 …piler/ssair/passes.jl     5 is_known_call(x::Any, func::Any, …
     3         0 …/compiler/optimize.jl   421 argextype
     3         0 …/compiler/optimize.jl   422 argextype
     3         0 …/compiler/ssair/ir.jl  1031 setindex!(compact::Core.Compiler.…
     3         0 …/compiler/ssair/ir.jl  1023 kill_current_uses!(compact::Core.…
     3         0 …ler/ssair/inlining.jl   400 ir_inline_item!(compact::Core.Com…
     3         0 …ler/ssair/inlining.jl   361 ir_prepare_inlining!(insert_node!…
     3         0 @Base/array.jl          1261 push!
     3         0 …aturalfPEPS/src/Ek.jl   336 get_Ek(peps::PEPS, ham_op::Quantu…
     3         0 …aturalfPEPS/src/Ek.jl   249 get_logψ_flipped
     3         0 …ITensorMPS/src/mpo.jl   691 contract
     3         0 …trix_decomposition.jl   291 kwcall(::@NamedTuple{ishermitian:…
     3         0 …PEPS/src/Ok_and_Ek.jl     7 Ok_and_Ek(peps::PEPS, ham_op::Qua…
     3         0 …fPEPS/src/sampling.jl   127 get_sample
     3         0 …ler/ssair/inlining.jl  1640 assemble_inline_todo!(ir::Core.Co…
     4         0 @Base/broadcast.jl       872 materialize(bc::Base.Broadcast.Br…
     4         0 …iler/ssair/domtree.jl   259 update_domtree!
     4         0 …/compiler/optimize.jl  1219 slot2reg
     4         4 @Base/essentials.jl       11 length
     4         4 @Base/boot.jl            516 GenericMemory
     4         0 …/compiler/ssair/ir.jl  1427 process_node!(compact::Core.Compi…
     4         0 …/compiler/ssair/ir.jl   571 _advance(stmt::Any, op::Int64)
     4         0 …/compiler/ssair/ir.jl   400 construct_domtree
     4         0 …/compiler/ssair/ir.jl   401 construct_domtree
     4         1 @Base/array.jl          1116 _growend!
     4         0 …ler/ssair/inlining.jl  1675 assemble_inline_todo!(ir::Core.Co…
     4         0 …piler/ssair/passes.jl  1469 sroa_pass!(ir::Core.Compiler.IRCo…
     4         0 …ler/ssair/inlining.jl   448 ir_inline_item!(compact::Core.Com…
     4         0 …ons/tensor_algebra.jl     3 _contract(A::NDTensors.DenseTenso…
     4         0 …s/src/SimpleTraits.jl   332 contract
     4         1 …_tensor_operations.jl    91 contract(::Type{NDTensors.CanCont…
     4         0 …tures/src/delegate.jl    21 getindex(a::DataStructures.Defaul…
     4         0 …s/src/default_dict.jl   102 getindex
     4         0 …s/src/ordered_dict.jl   367 get!(default::DataStructures.var"…
     5         0 …piler/ssair/passes.jl  2020 adce_pass!(ir::Core.Compiler.IRCo…
     5         0 …/compiler/ssair/ir.jl   724 IncrementalCompact
     5         4 @Base/essentials.jl      916 getindex
     5         5 @Base/reflection.jl     1332 _uncompressed_ir
     5         0 …ons/tensor_algebra.jl    74 contract(A::ITensor, B::ITensor)
     5         1 …ons/tensor_algebra.jl     9 _contract(A::ITensor, B::ITensor)
     6         1 …olver/eigen_solver.jl    23 (::QuantumNaturalGradient.EigenSo…
     6         1 …/compiler/ssair/ir.jl   579 iterate
     6         0 …ractinterpretation.jl  2166 abstract_call_known(interp::Core.…
     6         0 …se/compiler/tfuncs.jl  2975 return_type_tfunc(interp::Core.Co…
     6         0 …s_and_Eks_threaded.jl    25 (::QuantumNaturalfPEPS.var"#Oks_a…
     6         0 …/compiler/ssair/ir.jl  1063 setindex!
     6         6 …aturalfPEPS/src/Ok.jl    55 get_Ok(peps::PEPS, env_top::Vecto…
     6         0 …nericEksAndOks/Eks.jl   171 get_precomp_sOψ_elems(tso::Quantu…
     6         0 …nericEksAndOks/Eks.jl   289 increase_dim!(sum_precompute::Dat…
     6         6 …s/src/ordered_dict.jl   283 ht_keyindex2(h::OrderedCollection…
     7         0 …ractinterpretation.jl  2102 abstract_call_known(interp::Core.…
     7         0 …ractinterpretation.jl  1690 abstract_apply(interp::Core.Compi…
     7         0 …ler/ssair/inlining.jl    78 ssa_inlining_pass!
     8         0 …iler/ssair/domtree.jl   242 construct_domtree(blocks::Vector{…
     8         0 …compiler/typeinfer.jl   269 finish_nocycle(::Core.Compiler.Na…
     8         0 …compiler/typeinfer.jl   435 cache_result!(interp::Core.Compil…
     8         0 …compiler/typeinfer.jl   363 Core.CodeInstance(interp::Core.Co…
     8         0 …compiler/typeinfer.jl   408 transform_result_for_cache
     8         8 …compiler/typeinfer.jl   394 maybe_compress_codeinfo(interp::C…
