2026/02/23 16:06:14.695, 0, 85.98, 0, 1410, 1215
2026/02/23 16:06:14.699, 1, 56.49, 0, 210, 1215
2026/02/23 16:06:14.704, 2, 63.49, 0, 210, 1215
2026/02/23 16:06:14.710, 3, 57.70, 0, 210, 1215
2026/02/23 16:06:14.815, 0, 85.98, 0, 1410, 1215
2026/02/23 16:06:14.816, 1, 56.49, 0, 210, 1215
2026/02/23 16:06:14.816, 2, 63.49, 0, 210, 1215
2026/02/23 16:06:14.816, 3, 57.70, 0, 210, 1215
2026/02/23 16:06:14.916, 0, 85.71, 0, 1410, 1215
2026/02/23 16:06:14.916, 1, 56.55, 0, 210, 1215
2026/02/23 16:06:14.916, 2, 63.23, 0, 210, 1215
2026/02/23 16:06:14.916, 3, 57.70, 0, 210, 1215
2026/02/23 16:06:15.016, 0, 70.97, 0, 1095, 1215
2026/02/23 16:06:15.016, 1, 56.55, 0, 210, 1215
2026/02/23 16:06:15.016, 2, 63.23, 0, 210, 1215
2026/02/23 16:06:15.016, 3, 57.70, 0, 210, 1215
2026/02/23 16:06:15.117, 0, 67.20, 0, 1095, 1215
2026/02/23 16:06:15.117, 1, 56.55, 0, 210, 1215
2026/02/23 16:06:15.117, 2, 63.23, 0, 210, 1215
2026/02/23 16:06:15.117, 3, 57.70, 0, 210, 1215
2026/02/23 16:06:15.217, 0, 66.86, 0, 1095, 1215
2026/02/23 16:06:15.217, 1, 56.55, 0, 210, 1215
2026/02/23 16:06:15.217, 2, 63.23, 0, 210, 1215
2026/02/23 16:06:15.217, 3, 57.76, 0, 210, 1215
2026/02/23 16:06:15.317, 0, 62.42, 0, 330, 1215
2026/02/23 16:06:15.318, 1, 56.55, 0, 210, 1215
2026/02/23 16:06:15.318, 2, 63.49, 0, 210, 1215
2026/02/23 16:06:15.318, 3, 57.70, 0, 210, 1215
2026/02/23 16:06:15.418, 0, 60.94, 0, 315, 1215
2026/02/23 16:06:15.418, 1, 56.55, 0, 210, 1215
2026/02/23 16:06:15.418, 2, 63.23, 0, 210, 1215
2026/02/23 16:06:15.418, 3, 57.70, 0, 210, 1215
2026/02/23 16:06:15.518, 0, 61.00, 0, 315, 1215
2026/02/23 16:06:15.518, 1, 56.55, 0, 210, 1215
2026/02/23 16:06:15.518, 2, 63.23, 0, 210, 1215
2026/02/23 16:06:15.519, 3, 57.70, 0, 210, 1215
2026/02/23 16:06:15.619, 0, 60.94, 0, 285, 1215
2026/02/23 16:06:15.619, 1, 56.55, 0, 210, 1215
2026/02/23 16:06:15.619, 2, 63.16, 0, 210, 1215
2026/02/23 16:06:15.619, 3, 57.70, 0, 210, 1215
2026/02/23 16:06:15.719, 0, 60.66, 0, 285, 1215
2026/02/23 16:06:15.719, 1, 56.55, 0, 210, 1215
2026/02/23 16:06:15.719, 2, 63.23, 0, 210, 1215
2026/02/23 16:06:15.719, 3, 57.70, 0, 210, 1215
2026/02/23 16:06:15.819, 0, 60.94, 0, 255, 1215
2026/02/23 16:06:15.820, 1, 56.55, 0, 210, 1215
2026/02/23 16:06:15.820, 2, 63.23, 0, 210, 1215
2026/02/23 16:06:15.820, 3, 57.70, 0, 210, 1215
2026/02/23 16:06:15.920, 0, 61.33, 0, 255, 1215
2026/02/23 16:06:15.920, 1, 56.49, 0, 210, 1215
2026/02/23 16:06:15.920, 2, 63.23, 0, 210, 1215
2026/02/23 16:06:15.920, 3, 57.70, 0, 210, 1215
2026/02/23 16:06:16.020, 0, 60.33, 0, 240, 1215
2026/02/23 16:06:16.020, 1, 56.55, 0, 210, 1215
2026/02/23 16:06:16.020, 2, 63.23, 0, 210, 1215
2026/02/23 16:06:16.020, 3, 57.70, 0, 210, 1215
2026/02/23 16:06:16.121, 0, 60.33, 0, 240, 1215
2026/02/23 16:06:16.121, 1, 57.10, 0, 210, 1215
2026/02/23 16:06:16.121, 2, 64.11, 0, 210, 1215
2026/02/23 16:06:16.121, 3, 57.70, 0, 210, 1215
2026/02/23 16:06:16.221, 0, 60.33, 0, 210, 1215
2026/02/23 16:06:16.221, 1, 56.55, 0, 210, 1215
2026/02/23 16:06:16.221, 2, 63.55, 0, 210, 1215
2026/02/23 16:06:16.221, 3, 57.70, 0, 210, 1215
2026/02/23 16:06:16.321, 0, 60.33, 0, 210, 1215
2026/02/23 16:06:16.322, 1, 56.55, 0, 210, 1215
2026/02/23 16:06:16.322, 2, 63.16, 0, 210, 1215
2026/02/23 16:06:16.322, 3, 58.52, 0, 210, 1215
2026/02/23 16:06:16.422, 0, 60.33, 0, 210, 1215
2026/02/23 16:06:16.422, 1, 56.55, 0, 210, 1215
2026/02/23 16:06:16.422, 2, 63.83, 0, 210, 1215
2026/02/23 16:06:16.422, 3, 57.97, 0, 210, 1215
2026/02/23 16:06:16.522, 0, 70.09, 0, 1095, 1215
2026/02/23 16:06:16.522, 1, 56.55, 0, 210, 1215
2026/02/23 16:06:16.522, 2, 63.23, 0, 210, 1215
2026/02/23 16:06:16.522, 3, 57.76, 0, 210, 1215
2026/02/23 16:06:16.623, 0, 70.09, 0, 1095, 1215
2026/02/23 16:06:16.623, 1, 56.49, 0, 210, 1215
2026/02/23 16:06:16.623, 2, 63.55, 0, 210, 1215
2026/02/23 16:06:16.623, 3, 57.70, 0, 210, 1215
2026/02/23 16:06:16.723, 0, 67.47, 0, 1095, 1215
2026/02/23 16:06:16.723, 1, 56.55, 0, 210, 1215
2026/02/23 16:06:16.723, 2, 63.55, 0, 210, 1215
2026/02/23 16:06:16.724, 3, 57.70, 0, 210, 1215
2026/02/23 16:06:16.824, 0, 66.25, 0, 1095, 1215
2026/02/23 16:06:16.824, 1, 56.49, 0, 210, 1215
2026/02/23 16:06:16.824, 2, 63.49, 0, 210, 1215
2026/02/23 16:06:16.824, 3, 57.70, 0, 210, 1215
2026/02/23 16:06:16.924, 0, 66.25, 5, 1095, 1215
2026/02/23 16:06:16.924, 1, 56.49, 0, 210, 1215
2026/02/23 16:06:16.924, 2, 63.16, 0, 210, 1215
2026/02/23 16:06:16.924, 3, 57.70, 0, 210, 1215
2026/02/23 16:06:17.025, 0, 190.07, 5, 1410, 1215
2026/02/23 16:06:17.025, 1, 56.55, 0, 210, 1215
2026/02/23 16:06:17.025, 2, 63.16, 0, 210, 1215
2026/02/23 16:06:17.025, 3, 57.64, 0, 210, 1215
2026/02/23 16:06:17.125, 0, 312.43, 87, 1410, 1215
2026/02/23 16:06:17.125, 1, 56.49, 0, 210, 1215
2026/02/23 16:06:17.125, 2, 63.16, 0, 210, 1215
2026/02/23 16:06:17.125, 3, 57.70, 0, 210, 1215
2026/02/23 16:06:17.225, 0, 348.63, 87, 1410, 1215
2026/02/23 16:06:17.225, 1, 56.49, 0, 210, 1215
2026/02/23 16:06:17.226, 2, 63.16, 0, 210, 1215
2026/02/23 16:06:17.226, 3, 57.70, 0, 210, 1215
2026/02/23 16:06:17.326, 0, 348.63, 100, 1410, 1215
2026/02/23 16:06:17.326, 1, 56.44, 0, 210, 1215
2026/02/23 16:06:17.326, 2, 63.42, 0, 210, 1215
2026/02/23 16:06:17.326, 3, 57.64, 0, 210, 1215
2026/02/23 16:06:17.426, 0, 355.36, 100, 1410, 1215
2026/02/23 16:06:17.426, 1, 56.44, 0, 210, 1215
2026/02/23 16:06:17.426, 2, 63.42, 0, 210, 1215
2026/02/23 16:06:17.426, 3, 57.64, 0, 210, 1215
2026/02/23 16:06:17.527, 0, 357.07, 100, 1410, 1215
2026/02/23 16:06:17.527, 1, 56.49, 0, 210, 1215
2026/02/23 16:06:17.527, 2, 63.49, 0, 210, 1215
2026/02/23 16:06:17.527, 3, 57.64, 0, 210, 1215
2026/02/23 16:06:17.627, 0, 357.44, 100, 1410, 1215
2026/02/23 16:06:17.627, 1, 56.49, 0, 210, 1215
2026/02/23 16:06:17.627, 2, 63.42, 0, 210, 1215
2026/02/23 16:06:17.627, 3, 57.64, 0, 210, 1215
2026/02/23 16:06:17.727, 0, 358.91, 100, 1410, 1215
2026/02/23 16:06:17.727, 1, 56.44, 0, 210, 1215
2026/02/23 16:06:17.728, 2, 63.10, 0, 210, 1215
2026/02/23 16:06:17.728, 3, 57.64, 0, 210, 1215
2026/02/23 16:06:17.828, 0, 360.39, 100, 1410, 1215
2026/02/23 16:06:17.828, 1, 56.44, 0, 210, 1215
2026/02/23 16:06:17.828, 2, 63.16, 0, 210, 1215
2026/02/23 16:06:17.828, 3, 57.64, 0, 210, 1215
2026/02/23 16:06:17.928, 0, 360.39, 100, 1410, 1215
2026/02/23 16:06:17.928, 1, 56.44, 0, 210, 1215
2026/02/23 16:06:17.928, 2, 63.49, 0, 210, 1215
2026/02/23 16:06:17.928, 3, 57.64, 0, 210, 1215
2026/02/23 16:06:18.029, 0, 365.97, 100, 1410, 1215
2026/02/23 16:06:18.029, 1, 56.44, 0, 210, 1215
2026/02/23 16:06:18.029, 2, 63.16, 0, 210, 1215
2026/02/23 16:06:18.029, 3, 57.64, 0, 210, 1215
2026/02/23 16:06:18.129, 0, 366.24, 100, 1410, 1215
2026/02/23 16:06:18.129, 1, 56.49, 0, 210, 1215
2026/02/23 16:06:18.129, 2, 63.49, 0, 210, 1215
2026/02/23 16:06:18.129, 3, 57.64, 0, 210, 1215
2026/02/23 16:06:18.229, 0, 366.56, 100, 1410, 1215
2026/02/23 16:06:18.230, 1, 56.44, 0, 210, 1215
