timestamp,index,power_draw_w,utilization_gpu_pct,clocks_sm_mhz,clocks_mem_mhz
2026/02/23 16:16:46.664, 0, 82.81, 0, 1410, 1215
2026/02/23 16:16:46.668, 1, 54.81, 0, 210, 1215
2026/02/23 16:16:46.674, 2, 57.12, 0, 210, 1215
2026/02/23 16:16:46.679, 3, 55.47, 0, 210, 1215
2026/02/23 16:16:46.735, 0, 82.81, 0, 1410, 1215
2026/02/23 16:16:46.735, 1, 54.81, 0, 210, 1215
2026/02/23 16:16:46.735, 2, 57.12, 0, 210, 1215
2026/02/23 16:16:46.735, 3, 55.47, 0, 210, 1215
2026/02/23 16:16:46.785, 0, 82.81, 0, 1410, 1215
2026/02/23 16:16:46.785, 1, 54.81, 0, 210, 1215
2026/02/23 16:16:46.785, 2, 57.12, 0, 210, 1215
2026/02/23 16:16:46.785, 3, 55.47, 0, 210, 1215
2026/02/23 16:16:46.835, 0, 82.48, 0, 420, 1215
2026/02/23 16:16:46.835, 1, 54.81, 0, 210, 1215
2026/02/23 16:16:46.835, 2, 57.12, 0, 210, 1215
2026/02/23 16:16:46.835, 3, 55.47, 0, 210, 1215
2026/02/23 16:16:46.886, 0, 82.48, 0, 420, 1215
2026/02/23 16:16:46.886, 1, 54.81, 0, 210, 1215
2026/02/23 16:16:46.886, 2, 57.12, 0, 210, 1215
2026/02/23 16:16:46.886, 3, 55.53, 0, 210, 1215
2026/02/23 16:16:46.936, 0, 59.42, 0, 420, 1215
2026/02/23 16:16:46.936, 1, 54.81, 0, 210, 1215
2026/02/23 16:16:46.936, 2, 57.12, 0, 210, 1215
2026/02/23 16:16:46.936, 3, 55.53, 0, 210, 1215
2026/02/23 16:16:46.987, 0, 59.42, 0, 420, 1215
2026/02/23 16:16:46.987, 1, 54.81, 0, 210, 1215
2026/02/23 16:16:46.987, 2, 57.12, 0, 210, 1215
2026/02/23 16:16:46.987, 3, 55.53, 0, 210, 1215
2026/02/23 16:16:47.037, 0, 59.21, 0, 390, 1215
2026/02/23 16:16:47.037, 1, 54.81, 0, 210, 1215
2026/02/23 16:16:47.037, 2, 57.12, 0, 210, 1215
2026/02/23 16:16:47.037, 3, 55.53, 0, 210, 1215
2026/02/23 16:16:47.088, 0, 59.21, 0, 390, 1215
2026/02/23 16:16:47.088, 1, 54.81, 0, 210, 1215
2026/02/23 16:16:47.088, 2, 57.12, 0, 210, 1215
2026/02/23 16:16:47.088, 3, 55.47, 0, 210, 1215
2026/02/23 16:16:47.138, 0, 59.15, 0, 390, 1215
2026/02/23 16:16:47.138, 1, 54.81, 0, 210, 1215
2026/02/23 16:16:47.138, 2, 57.12, 0, 210, 1215
2026/02/23 16:16:47.138, 3, 55.47, 0, 210, 1215
2026/02/23 16:16:47.189, 0, 59.15, 0, 390, 1215
2026/02/23 16:16:47.189, 1, 54.81, 0, 210, 1215
2026/02/23 16:16:47.189, 2, 57.12, 0, 210, 1215
2026/02/23 16:16:47.189, 3, 55.47, 0, 210, 1215
2026/02/23 16:16:47.239, 0, 59.15, 0, 360, 1215
2026/02/23 16:16:47.239, 1, 54.81, 0, 210, 1215
2026/02/23 16:16:47.239, 2, 57.12, 0, 210, 1215
2026/02/23 16:16:47.239, 3, 55.47, 0, 210, 1215
2026/02/23 16:16:47.290, 0, 59.15, 0, 360, 1215
2026/02/23 16:16:47.290, 1, 54.81, 0, 210, 1215
2026/02/23 16:16:47.290, 2, 57.12, 0, 210, 1215
2026/02/23 16:16:47.290, 3, 55.47, 0, 210, 1215
2026/02/23 16:16:47.340, 0, 59.15, 0, 360, 1215
2026/02/23 16:16:47.340, 1, 54.81, 0, 210, 1215
2026/02/23 16:16:47.340, 2, 57.12, 0, 210, 1215
2026/02/23 16:16:47.340, 3, 55.47, 0, 210, 1215
2026/02/23 16:16:47.391, 0, 59.15, 0, 360, 1215
2026/02/23 16:16:47.391, 1, 54.81, 0, 210, 1215
2026/02/23 16:16:47.391, 2, 57.12, 0, 210, 1215
2026/02/23 16:16:47.391, 3, 55.47, 0, 210, 1215
2026/02/23 16:16:47.441, 0, 58.82, 0, 330, 1215
2026/02/23 16:16:47.441, 1, 54.81, 0, 210, 1215
2026/02/23 16:16:47.441, 2, 57.12, 0, 210, 1215
2026/02/23 16:16:47.441, 3, 55.47, 0, 210, 1215
2026/02/23 16:16:47.491, 0, 58.82, 0, 330, 1215
2026/02/23 16:16:47.492, 1, 54.81, 0, 210, 1215
2026/02/23 16:16:47.492, 2, 57.12, 0, 210, 1215
2026/02/23 16:16:47.492, 3, 55.47, 0, 210, 1215
2026/02/23 16:16:47.542, 0, 58.82, 0, 330, 1215
2026/02/23 16:16:47.542, 1, 54.81, 0, 210, 1215
2026/02/23 16:16:47.542, 2, 57.12, 0, 210, 1215
2026/02/23 16:16:47.542, 3, 55.47, 0, 210, 1215
2026/02/23 16:16:47.592, 0, 58.82, 0, 330, 1215
2026/02/23 16:16:47.593, 1, 54.81, 0, 210, 1215
2026/02/23 16:16:47.593, 2, 57.06, 0, 210, 1215
2026/02/23 16:16:47.593, 3, 55.47, 0, 210, 1215
2026/02/23 16:16:47.643, 0, 58.82, 0, 300, 1215
2026/02/23 16:16:47.643, 1, 54.81, 0, 210, 1215
2026/02/23 16:16:47.643, 2, 57.06, 0, 210, 1215
2026/02/23 16:16:47.643, 3, 55.47, 0, 210, 1215
2026/02/23 16:16:47.693, 0, 58.82, 0, 300, 1215
2026/02/23 16:16:47.694, 1, 55.03, 0, 210, 1215
2026/02/23 16:16:47.694, 2, 57.06, 0, 210, 1215
2026/02/23 16:16:47.694, 3, 55.47, 0, 210, 1215
2026/02/23 16:16:47.744, 0, 58.55, 0, 300, 1215
2026/02/23 16:16:47.744, 1, 55.03, 0, 210, 1215
2026/02/23 16:16:47.744, 2, 57.06, 0, 210, 1215
2026/02/23 16:16:47.744, 3, 55.47, 0, 210, 1215
2026/02/23 16:16:47.795, 0, 58.55, 0, 300, 1215
2026/02/23 16:16:47.795, 1, 55.35, 0, 210, 1215
2026/02/23 16:16:47.795, 2, 57.72, 0, 210, 1215
2026/02/23 16:16:47.795, 3, 55.74, 0, 210, 1215
2026/02/23 16:16:47.845, 0, 58.82, 0, 270, 1215
2026/02/23 16:16:47.845, 1, 55.35, 0, 210, 1215
2026/02/23 16:16:47.845, 2, 57.72, 0, 210, 1215
2026/02/23 16:16:47.845, 3, 55.74, 0, 210, 1215
2026/02/23 16:16:47.896, 0, 58.82, 0, 270, 1215
2026/02/23 16:16:47.896, 1, 54.81, 0, 210, 1215
2026/02/23 16:16:47.896, 2, 57.12, 0, 210, 1215
2026/02/23 16:16:47.896, 3, 55.47, 0, 210, 1215
2026/02/23 16:16:47.946, 0, 59.42, 0, 270, 1215
2026/02/23 16:16:47.946, 1, 54.81, 0, 210, 1215
2026/02/23 16:16:47.946, 2, 57.12, 0, 210, 1215
2026/02/23 16:16:47.946, 3, 55.47, 0, 210, 1215
2026/02/23 16:16:47.996, 0, 59.42, 0, 270, 1215
2026/02/23 16:16:47.997, 1, 55.69, 0, 210, 1215
2026/02/23 16:16:47.997, 2, 57.12, 0, 210, 1215
2026/02/23 16:16:47.997, 3, 55.47, 0, 210, 1215
2026/02/23 16:16:48.047, 0, 59.15, 0, 255, 1215
2026/02/23 16:16:48.047, 1, 55.69, 0, 210, 1215
2026/02/23 16:16:48.047, 2, 57.12, 0, 210, 1215
2026/02/23 16:16:48.047, 3, 55.47, 0, 210, 1215
2026/02/23 16:16:48.097, 0, 59.15, 0, 255, 1215
2026/02/23 16:16:48.097, 1, 54.81, 0, 210, 1215
2026/02/23 16:16:48.098, 2, 58.00, 0, 210, 1215
2026/02/23 16:16:48.098, 3, 55.47, 0, 210, 1215
2026/02/23 16:16:48.148, 0, 58.55, 0, 255, 1215
2026/02/23 16:16:48.148, 1, 54.81, 0, 210, 1215
2026/02/23 16:16:48.148, 2, 58.00, 0, 210, 1215
2026/02/23 16:16:48.148, 3, 55.47, 0, 210, 1215
2026/02/23 16:16:48.198, 0, 58.55, 0, 255, 1215
2026/02/23 16:16:48.198, 1, 55.08, 0, 210, 1215
2026/02/23 16:16:48.198, 2, 57.12, 0, 210, 1215
2026/02/23 16:16:48.198, 3, 56.35, 0, 210, 1215
2026/02/23 16:16:48.249, 0, 58.55, 0, 225, 1215
2026/02/23 16:16:48.249, 1, 55.08, 0, 210, 1215
2026/02/23 16:16:48.249, 2, 57.12, 0, 210, 1215
2026/02/23 16:16:48.249, 3, 56.35, 0, 210, 1215
2026/02/23 16:16:48.299, 0, 58.55, 0, 225, 1215
2026/02/23 16:16:48.299, 1, 54.81, 0, 210, 1215
2026/02/23 16:16:48.299, 2, 57.12, 0, 210, 1215
2026/02/23 16:16:48.299, 3, 55.74, 0, 210, 1215
2026/02/23 16:16:48.350, 0, 58.55, 0, 225, 1215
2026/02/23 16:16:48.350, 1, 54.81, 0, 210, 1215
2026/02/23 16:16:48.350, 2, 57.12, 0, 210, 1215
2026/02/23 16:16:48.350, 3, 55.74, 0, 210, 1215
2026/02/23 16:16:48.400, 0, 58.55, 0, 225, 1215
2026/02/23 16:16:48.400, 1, 55.08, 0, 210, 1215
2026/02/23 16:16:48.400, 2, 57.06, 0, 210, 1215
2026/02/23 16:16:48.400, 3, 55.47, 0, 210, 1215
2026/02/23 16:16:48.450, 0, 62.95, 0, 1095, 1215
2026/02/23 16:16:48.451, 1, 55.08, 0, 210, 1215
2026/02/23 16:16:48.451, 2, 57.06, 0, 210, 1215
2026/02/23 16:16:48.451, 3, 55.47, 0, 210, 1215
2026/02/23 16:16:48.501, 0, 62.95, 0, 1095, 1215
2026/02/23 16:16:48.501, 1, 54.81, 0, 210, 1215
2026/02/23 16:16:48.501, 2, 57.12, 0, 210, 1215
2026/02/23 16:16:48.501, 3, 55.47, 0, 210, 1215
