device,sm_count,threads_per_block,blocks,total_threads,loads_per_thread,warmup_runs,stride_bytes,stride_elements,run_idx,kernel_ms,read_bytes,achieved_bandwidth_gbps
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,8,1,0,10.0735,57982058496,5755.9
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,8,1,1,10.058,57982058496,5764.74
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,8,1,2,10.0663,57982058496,5760.01
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,8,1,3,10.0673,57982058496,5759.43
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,8,1,4,10.069,57982058496,5758.48
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,8,1,5,10.0733,57982058496,5756.01
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,8,1,6,10.0656,57982058496,5760.4
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,8,1,7,10.0859,57982058496,5748.83
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,8,1,8,10.0785,57982058496,5753.03
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,8,1,9,10.0782,57982058496,5753.21
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,16,2,0,10.1988,57982058496,5685.19
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,16,2,1,10.1889,57982058496,5690.71
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,16,2,2,10.1919,57982058496,5689.03
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,16,2,3,10.2262,57982058496,5669.96
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,16,2,4,8.68352,57982058496,6677.25
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,16,2,5,7.92694,57982058496,7314.55
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,16,2,6,7.92672,57982058496,7314.76
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,16,2,7,7.93574,57982058496,7306.44
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,16,2,8,7.94979,57982058496,7293.53
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,16,2,9,7.92534,57982058496,7316.03
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,32,4,0,13.4378,57982058496,4314.86
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,32,4,1,13.3498,57982058496,4343.29
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,32,4,2,13.4153,57982058496,4322.1
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,32,4,3,13.4271,57982058496,4318.28
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,32,4,4,13.3883,57982058496,4330.8
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,32,4,5,13.4106,57982058496,4323.59
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,32,4,6,13.3964,57982058496,4328.2
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,32,4,7,13.4163,57982058496,4321.77
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,32,4,8,13.4444,57982058496,4312.73
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,32,4,9,13.5234,57982058496,4287.54
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,64,8,0,25.5292,57982058496,2271.2
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,64,8,1,25.4351,57982058496,2279.6
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,64,8,2,25.4543,57982058496,2277.89
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,64,8,3,25.4486,57982058496,2278.4
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,64,8,4,25.5071,57982058496,2273.17
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,64,8,5,25.4183,57982058496,2281.11
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,64,8,6,25.4928,57982058496,2274.45
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,64,8,7,25.4564,57982058496,2277.7
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,64,8,8,25.469,57982058496,2276.58
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,64,8,9,25.4776,57982058496,2275.8
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,128,16,0,58.8845,57982058496,984.674
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,128,16,1,59.0996,57982058496,981.09
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,128,16,2,59.5253,57982058496,974.074
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,128,16,3,59.4735,57982058496,974.922
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,128,16,4,60.1912,57982058496,963.298
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,128,16,5,58.9125,57982058496,984.206
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,128,16,6,58.3985,57982058496,992.868
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,128,16,7,58.6767,57982058496,988.162
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,128,16,8,58.6822,57982058496,988.068
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,128,16,9,58.8493,57982058496,985.263
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,256,32,0,58.1354,57982058496,997.362
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,256,32,1,60.3914,57982058496,960.105
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,256,32,2,60.8023,57982058496,953.616
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,256,32,3,63.4434,57982058496,913.918
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,256,32,4,61.788,57982058496,938.403
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,256,32,5,62.1717,57982058496,932.612
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,256,32,6,59.5186,57982058496,974.185
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,256,32,7,61.3897,57982058496,944.492
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,256,32,8,61.315,57982058496,945.643
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,256,32,9,61.8295,57982058496,937.773
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,512,64,0,63.3111,57982058496,915.828
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,512,64,1,64.0938,57982058496,904.644
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,512,64,2,62.6557,57982058496,925.407
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,512,64,3,61.1566,57982058496,948.092
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,512,64,4,62.2687,57982058496,931.159
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,512,64,5,64.3117,57982058496,901.578
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,512,64,6,64.2299,57982058496,902.727
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,512,64,7,61.7514,57982058496,938.959
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,512,64,8,62.3403,57982058496,930.09
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,512,64,9,63.9159,57982058496,907.161
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,1024,128,0,70.7915,57982058496,819.054
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,1024,128,1,68.9622,57982058496,840.78
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,1024,128,2,70.537,57982058496,822.009
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,1024,128,3,67.4963,57982058496,859.041
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,1024,128,4,68.3152,57982058496,848.743
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,1024,128,5,67.2977,57982058496,861.576
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,1024,128,6,68.6533,57982058496,844.564
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,1024,128,7,69.3369,57982058496,836.237
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,1024,128,8,70.2864,57982058496,824.94
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,1024,128,9,69.7778,57982058496,830.953
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,2048,256,0,68.9341,57982058496,841.122
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,2048,256,1,64.2979,57982058496,901.772
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,2048,256,2,68.9692,57982058496,840.695
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,2048,256,3,65.1213,57982058496,890.37
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,2048,256,4,64.8829,57982058496,893.642
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,2048,256,5,67.7845,57982058496,855.388
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,2048,256,6,66.3295,57982058496,874.152
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,2048,256,7,69.835,57982058496,830.272
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,2048,256,8,68.1019,57982058496,851.401
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,2048,256,9,67.3996,57982058496,860.273
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,4096,512,0,55.8658,57982058496,1037.88
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,4096,512,1,54.3925,57982058496,1065.99
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,4096,512,2,56.531,57982058496,1025.67
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,4096,512,3,55.8927,57982058496,1037.38
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,4096,512,4,56.228,57982058496,1031.19
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,4096,512,5,56.56,57982058496,1025.14
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,4096,512,6,55.8674,57982058496,1037.85
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,4096,512,7,53.8624,57982058496,1076.49
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,4096,512,8,53.2669,57982058496,1088.52
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,4096,512,9,52.6458,57982058496,1101.36
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,8192,1024,0,52.2651,57982058496,1109.38
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,8192,1024,1,52.2798,57982058496,1109.07
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,8192,1024,2,51.2633,57982058496,1131.06
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,8192,1024,3,52.2672,57982058496,1109.34
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,8192,1024,4,50.9003,57982058496,1139.13
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,8192,1024,5,50.9016,57982058496,1139.1
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,8192,1024,6,52.2755,57982058496,1109.16
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,8192,1024,7,50.9334,57982058496,1138.39
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,8192,1024,8,50.9326,57982058496,1138.41
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,8192,1024,9,52.1733,57982058496,1111.33
