device,sm_count,threads_per_block,blocks,total_threads,warmup_runs,target_launches_per_run,launches_per_run_used,stride_bytes,stride_elements,run_idx,kernel_ms,read_bytes,achieved_bandwidth_gbps
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,32,4,11,0.06144,7962624,129.6
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,32,4,12,0.06144,7962624,129.6
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,32,4,13,0.06144,7962624,129.6
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,32,4,14,0.060416,7962624,131.797
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,32,4,15,0.06144,7962624,129.6
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,32,4,16,0.06144,7962624,129.6
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,32,4,17,0.060416,7962624,131.797
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,32,4,18,0.060416,7962624,131.797
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,32,4,19,0.06144,7962624,129.6
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,64,8,0,0.079872,7962624,99.6923
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,64,8,1,0.079872,7962624,99.6923
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,64,8,2,0.08192,7962624,97.2
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,64,8,3,0.080896,7962624,98.4304
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,64,8,4,0.080896,7962624,98.4304
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,64,8,5,0.080896,7962624,98.4304
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,64,8,6,0.084992,7962624,93.6867
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,64,8,7,0.080896,7962624,98.4304
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,64,8,8,0.082944,7962624,96
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,64,8,9,0.080896,7962624,98.4304
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,64,8,10,0.080896,7962624,98.4304
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,64,8,11,0.080896,7962624,98.4304
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,64,8,12,0.08192,7962624,97.2
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,64,8,13,0.08192,7962624,97.2
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,64,8,14,0.083968,7962624,94.8293
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,64,8,15,0.082944,7962624,96
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,64,8,16,0.08192,7962624,97.2
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,64,8,17,0.082944,7962624,96
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,64,8,18,0.08192,7962624,97.2
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,64,8,19,0.08192,7962624,97.2
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,128,16,0,0.082944,7962624,96
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,128,16,1,0.082944,7962624,96
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,128,16,2,0.082944,7962624,96
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,128,16,3,0.082944,7962624,96
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,128,16,4,0.082944,7962624,96
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,128,16,5,0.084992,7962624,93.6867
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,128,16,6,0.08192,7962624,97.2
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,128,16,7,0.082944,7962624,96
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,128,16,8,0.082944,7962624,96
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,128,16,9,0.083968,7962624,94.8293
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,128,16,10,0.083968,7962624,94.8293
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,128,16,11,0.082944,7962624,96
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,128,16,12,0.082944,7962624,96
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,128,16,13,0.084992,7962624,93.6867
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,128,16,14,0.082944,7962624,96
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,128,16,15,0.082944,7962624,96
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,128,16,16,0.08192,7962624,97.2
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,128,16,17,0.082944,7962624,96
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,128,16,18,0.082944,7962624,96
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,128,16,19,0.08192,7962624,97.2
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,256,32,0,0.08704,7962624,91.4824
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,256,32,1,0.086016,7962624,92.5714
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,256,32,2,0.08704,7962624,91.4824
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,256,32,3,0.083968,7962624,94.8293
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,256,32,4,0.086016,7962624,92.5714
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,256,32,5,0.086016,7962624,92.5714
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,256,32,6,0.083968,7962624,94.8293
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,256,32,7,0.08704,7962624,91.4824
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,256,32,8,0.086016,7962624,92.5714
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,256,32,9,0.084992,7962624,93.6867
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,256,32,10,0.084992,7962624,93.6867
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,256,32,11,0.084992,7962624,93.6867
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,256,32,12,0.08704,7962624,91.4824
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,256,32,13,0.084992,7962624,93.6867
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,256,32,14,0.086016,7962624,92.5714
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,256,32,15,0.084992,7962624,93.6867
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,256,32,16,0.086016,7962624,92.5714
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,256,32,17,0.086016,7962624,92.5714
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,256,32,18,0.084992,7962624,93.6867
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,256,32,19,0.084992,7962624,93.6867
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,512,64,0,0.08704,7962624,91.4824
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,512,64,1,0.086016,7962624,92.5714
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,512,64,2,0.086016,7962624,92.5714
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,512,64,3,0.08704,7962624,91.4824
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,512,64,4,0.08704,7962624,91.4824
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,512,64,5,0.08704,7962624,91.4824
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,512,64,6,0.08704,7962624,91.4824
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,512,64,7,0.088064,7962624,90.4186
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,512,64,8,0.08704,7962624,91.4824
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,512,64,9,0.086016,7962624,92.5714
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,512,64,10,0.086016,7962624,92.5714
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,512,64,11,0.088064,7962624,90.4186
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,512,64,12,0.08704,7962624,91.4824
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,512,64,13,0.086016,7962624,92.5714
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,512,64,14,0.088064,7962624,90.4186
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,512,64,15,0.08704,7962624,91.4824
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,512,64,16,0.088064,7962624,90.4186
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,512,64,17,0.088064,7962624,90.4186
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,512,64,18,0.08704,7962624,91.4824
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,512,64,19,0.088064,7962624,90.4186
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,1024,128,0,0.114688,7962624,69.4286
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,1024,128,1,0.113664,7962624,70.0541
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,1024,128,2,0.113664,7962624,70.0541
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,1024,128,3,0.114688,7962624,69.4286
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,1024,128,4,0.113664,7962624,70.0541
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,1024,128,5,0.114688,7962624,69.4286
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,1024,128,6,0.115712,7962624,68.8142
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,1024,128,7,0.114688,7962624,69.4286
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,1024,128,8,0.114688,7962624,69.4286
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,1024,128,9,0.113664,7962624,70.0541
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,1024,128,10,0.113664,7962624,70.0541
