timestamp,index,power_draw_w,utilization_gpu_pct,clocks_sm_mhz,clocks_mem_mhz
2026/02/23 16:18:53.321, 3, 55.47, 0, 210, 1215
2026/02/23 16:18:53.371, 0, 59.42, 0, 255, 1215
2026/02/23 16:18:53.371, 1, 55.08, 0, 210, 1215
2026/02/23 16:18:53.371, 2, 57.40, 0, 210, 1215
2026/02/23 16:18:53.371, 3, 55.47, 0, 210, 1215
2026/02/23 16:18:53.421, 0, 59.42, 0, 255, 1215
2026/02/23 16:18:53.421, 1, 55.08, 0, 210, 1215
2026/02/23 16:18:53.421, 2, 57.34, 0, 210, 1215
2026/02/23 16:18:53.422, 3, 55.47, 0, 210, 1215
2026/02/23 16:18:53.472, 0, 60.31, 0, 225, 1215
2026/02/23 16:18:53.472, 1, 55.08, 0, 210, 1215
2026/02/23 16:18:53.472, 2, 57.34, 0, 210, 1215
2026/02/23 16:18:53.472, 3, 55.47, 0, 210, 1215
2026/02/23 16:18:53.522, 0, 60.31, 0, 225, 1215
2026/02/23 16:18:53.522, 1, 55.08, 0, 210, 1215
2026/02/23 16:18:53.522, 2, 57.40, 0, 210, 1215
2026/02/23 16:18:53.522, 3, 55.47, 0, 210, 1215
2026/02/23 16:18:53.573, 0, 59.42, 0, 225, 1215
2026/02/23 16:18:53.573, 1, 55.63, 0, 210, 1215
2026/02/23 16:18:53.573, 2, 57.40, 0, 210, 1215
2026/02/23 16:18:53.573, 3, 55.47, 0, 210, 1215
2026/02/23 16:18:53.623, 0, 59.42, 0, 225, 1215
2026/02/23 16:18:53.623, 1, 55.63, 0, 210, 1215
2026/02/23 16:18:53.623, 2, 57.40, 0, 210, 1215
2026/02/23 16:18:53.623, 3, 55.47, 0, 210, 1215
2026/02/23 16:18:53.674, 0, 59.42, 0, 210, 1215
2026/02/23 16:18:53.674, 1, 55.08, 0, 210, 1215
2026/02/23 16:18:53.674, 2, 57.40, 0, 210, 1215
2026/02/23 16:18:53.674, 3, 55.47, 0, 210, 1215
2026/02/23 16:18:53.724, 0, 59.42, 0, 210, 1215
2026/02/23 16:18:53.724, 1, 55.08, 0, 210, 1215
2026/02/23 16:18:53.724, 2, 58.00, 0, 210, 1215
2026/02/23 16:18:53.724, 3, 55.47, 0, 210, 1215
2026/02/23 16:18:53.774, 0, 59.42, 0, 210, 1215
2026/02/23 16:18:53.774, 1, 55.08, 0, 210, 1215
2026/02/23 16:18:53.775, 2, 58.00, 0, 210, 1215
2026/02/23 16:18:53.775, 3, 55.47, 0, 210, 1215
2026/02/23 16:18:53.825, 0, 59.42, 0, 210, 1215
2026/02/23 16:18:53.825, 1, 55.08, 0, 210, 1215
2026/02/23 16:18:53.825, 2, 57.94, 0, 210, 1215
2026/02/23 16:18:53.825, 3, 55.47, 0, 210, 1215
2026/02/23 16:18:53.875, 0, 59.15, 0, 210, 1215
2026/02/23 16:18:53.875, 1, 55.08, 0, 210, 1215
2026/02/23 16:18:53.875, 2, 57.94, 0, 210, 1215
2026/02/23 16:18:53.876, 3, 55.47, 0, 210, 1215
2026/02/23 16:18:53.926, 0, 59.15, 0, 210, 1215
2026/02/23 16:18:53.926, 1, 55.08, 0, 210, 1215
2026/02/23 16:18:53.926, 2, 57.34, 0, 210, 1215
2026/02/23 16:18:53.926, 3, 56.35, 0, 210, 1215
2026/02/23 16:18:53.976, 0, 59.15, 0, 210, 1215
2026/02/23 16:18:53.976, 1, 55.08, 0, 210, 1215
2026/02/23 16:18:53.976, 2, 57.34, 0, 210, 1215
2026/02/23 16:18:53.976, 3, 56.35, 0, 210, 1215
2026/02/23 16:18:54.027, 0, 59.15, 0, 210, 1215
2026/02/23 16:18:54.027, 1, 55.08, 0, 210, 1215
2026/02/23 16:18:54.027, 2, 57.72, 0, 210, 1215
2026/02/23 16:18:54.027, 3, 56.03, 0, 210, 1215
2026/02/23 16:18:54.077, 0, 66.52, 0, 1095, 1215
2026/02/23 16:18:54.077, 1, 55.08, 0, 210, 1215
2026/02/23 16:18:54.077, 2, 57.72, 0, 210, 1215
2026/02/23 16:18:54.077, 3, 56.03, 0, 210, 1215
2026/02/23 16:18:54.127, 0, 66.52, 0, 1095, 1215
2026/02/23 16:18:54.128, 1, 55.08, 0, 210, 1215
2026/02/23 16:18:54.128, 2, 57.34, 0, 210, 1215
2026/02/23 16:18:54.128, 3, 55.47, 0, 210, 1215
2026/02/23 16:18:54.178, 0, 66.80, 0, 1095, 1215
2026/02/23 16:18:54.178, 1, 55.08, 0, 210, 1215
2026/02/23 16:18:54.178, 2, 57.34, 0, 210, 1215
2026/02/23 16:18:54.178, 3, 55.47, 0, 210, 1215
2026/02/23 16:18:54.228, 0, 66.80, 0, 1095, 1215
2026/02/23 16:18:54.228, 1, 55.08, 0, 210, 1215
2026/02/23 16:18:54.229, 2, 57.40, 0, 210, 1215
2026/02/23 16:18:54.229, 3, 55.47, 0, 210, 1215
2026/02/23 16:18:54.279, 0, 64.76, 3, 1095, 1215
2026/02/23 16:18:54.279, 1, 55.08, 0, 210, 1215
2026/02/23 16:18:54.279, 2, 57.40, 0, 210, 1215
2026/02/23 16:18:54.279, 3, 55.47, 0, 210, 1215
2026/02/23 16:18:54.329, 0, 64.76, 3, 1095, 1215
2026/02/23 16:18:54.329, 1, 55.08, 0, 210, 1215
2026/02/23 16:18:54.329, 2, 57.40, 0, 210, 1215
2026/02/23 16:18:54.330, 3, 55.47, 0, 210, 1215
2026/02/23 16:18:54.380, 0, 64.76, 3, 1095, 1215
2026/02/23 16:18:54.380, 1, 55.08, 0, 210, 1215
2026/02/23 16:18:54.380, 2, 57.40, 0, 210, 1215
2026/02/23 16:18:54.380, 3, 55.47, 0, 210, 1215
2026/02/23 16:18:54.430, 0, 64.76, 3, 1095, 1215
2026/02/23 16:18:54.430, 1, 55.08, 0, 210, 1215
2026/02/23 16:18:54.430, 2, 57.40, 0, 210, 1215
2026/02/23 16:18:54.430, 3, 55.47, 0, 210, 1215
2026/02/23 16:18:54.481, 0, 64.76, 0, 1095, 1215
2026/02/23 16:18:54.481, 1, 55.08, 0, 210, 1215
2026/02/23 16:18:54.481, 2, 57.34, 0, 210, 1215
2026/02/23 16:18:54.481, 3, 55.47, 0, 210, 1215
2026/02/23 16:18:54.531, 0, 64.76, 0, 1095, 1215
2026/02/23 16:18:54.531, 1, 55.08, 0, 210, 1215
2026/02/23 16:18:54.531, 2, 57.34, 0, 210, 1215
2026/02/23 16:18:54.531, 3, 55.47, 0, 210, 1215
2026/02/23 16:18:54.582, 0, 181.12, 0, 1095, 1215
2026/02/23 16:18:54.582, 1, 55.08, 0, 210, 1215
2026/02/23 16:18:54.582, 2, 57.34, 0, 210, 1215
